date,JPY,rate,CAD
7/3/2020,$0.01 ,0.01262,$0.00 
7/6/2020,$0.01 ,0.0126,$0.00 
7/7/2020,$0.01 ,0.01263,$0.00 
7/8/2020,$0.01 ,0.01261,$0.00 
7/9/2020,$0.01 ,0.01264,$0.00 
7/10/2020,$0.01 ,0.01272,$0.00 
7/13/2020,$0.01 ,0.01265,$0.00 
7/14/2020,$0.01 ,0.0127,$0.00 
7/15/2020,$0.01 ,0.01266,$0.00 
7/16/2020,$0.01 ,0.01263,$0.00 
7/17/2020,$0.01 ,0.01268,$0.00 
7/20/2020,$0.01 ,0.01263,$0.00 
7/21/2020,$0.01 ,0.01258,$0.00 
7/22/2020,$0.01 ,0.01252,$0.00 
7/23/2020,$0.01 ,0.01252,$0.00 
7/24/2020,$0.01 ,0.01267,$0.00 
7/27/2020,$0.01 ,0.0127,$0.00 
7/28/2020,$0.01 ,0.01272,$0.00 
7/29/2020,$0.01 ,0.01272,$0.00 
7/30/2020,$0.01 ,0.01279,$0.00 
7/31/2020,$0.01 ,0.01269,$0.00 
8/4/2020,$0.01 ,0.01263,$0.00 
8/5/2020,$0.01 ,0.01257,$0.00 
8/6/2020,$0.01 ,0.0126,$0.00 
8/7/2020,$0.01 ,0.01264,$0.00 
8/10/2020,$0.01 ,0.01261,$0.00 
8/11/2020,$0.01 ,0.01249,$0.00 
8/12/2020,$0.01 ,0.0124,$0.00 
8/13/2020,$0.01 ,0.01236,$0.00 
8/14/2020,$0.01 ,0.01244,$0.00 
8/17/2020,$0.01 ,0.01245,$0.00 
8/18/2020,$0.01 ,0.01249,$0.00 
8/19/2020,$0.01 ,0.01246,$0.00 
8/20/2020,$0.01 ,0.01246,$0.00 
8/21/2020,$0.01 ,0.01247,$0.00 
8/24/2020,$0.01 ,0.01247,$0.00 
8/25/2020,$0.01 ,0.0124,$0.00 
8/26/2020,$0.01 ,0.0124,$0.00 
8/27/2020,$0.01 ,0.01234,$0.00 
8/28/2020,$0.01 ,0.01243,$0.00 
8/31/2020,$0.01 ,0.01231,$0.00 
9/1/2020,$0.01 ,0.01232,$0.00 
9/2/2020,$0.01 ,0.0123,$0.00 
9/3/2020,$0.01 ,0.01236,$0.00 
9/4/2020,$0.01 ,0.01231,$0.00 
9/8/2020,$0.01 ,0.01245,$0.00 
9/9/2020,$0.01 ,0.0124,$0.00 
9/10/2020,$0.01 ,0.0124,$0.00 
9/11/2020,$0.01 ,0.01242,$0.00 
9/14/2020,$0.01 ,0.01246,$0.00 
9/15/2020,$0.01 ,0.0125,$0.00 
9/16/2020,$0.01 ,0.01255,$0.00 
9/17/2020,$0.01 ,0.01261,$0.00 
9/18/2020,$0.01 ,0.01263,$0.00 
9/21/2020,$0.01 ,0.01271,$0.00 
9/22/2020,$0.01 ,0.01269,$0.00 
9/23/2020,$0.01 ,0.01268,$0.00 
9/24/2020,$0.01 ,0.01269,$0.00 
9/25/2020,$0.01 ,0.01269,$0.00 
9/28/2020,$0.01 ,0.01268,$0.00 
9/29/2020,$0.01 ,0.01267,$0.00 
9/30/2020,$0.01 ,0.01264,$0.00 
10/1/2020,$0.01 ,0.01259,$0.00 
10/2/2020,$0.01 ,0.01264,$0.00 
10/5/2020,$0.01 ,0.01256,$0.00 
10/6/2020,$0.01 ,0.01257,$0.00 
10/7/2020,$0.01 ,0.01253,$0.00 
10/8/2020,$0.01 ,0.01247,$0.00 
10/9/2020,$0.01 ,0.01243,$0.00 
10/13/2020,$0.01 ,0.01244,$0.00 
10/14/2020,$0.01 ,0.0125,$0.00 
10/15/2020,$0.01 ,0.01256,$0.00 
10/16/2020,$0.01 ,0.01252,$0.00 
10/19/2020,$0.01 ,0.01249,$0.00 
10/20/2020,$0.01 ,0.01244,$0.00 
10/21/2020,$0.01 ,0.01255,$0.00 
10/22/2020,$0.01 ,0.01254,$0.00 
10/23/2020,$0.01 ,0.01254,$0.00 
10/26/2020,$0.01 ,0.01258,$0.00 
10/27/2020,$0.01 ,0.0126,$0.00 
10/28/2020,$0.01 ,0.01275,$0.00 
10/29/2020,$0.01 ,0.01277,$0.00 
10/30/2020,$0.01 ,0.01273,$0.00 
11/2/2020,$0.01 ,0.01265,$0.00 
11/3/2020,$0.01 ,0.01257,$0.00 
